iter	Passed	Remaining
0	149	14759
1	153	7544
2	158	5133
3	163	3918
4	167	3188
5	171	2689
6	176	2340
7	180	2073
8	189	1918
9	193	1737
10	200	1622
11	207	1521
12	213	1427
13	217	1336
14	221	1257
15	225	1184
16	229	1119
17	232	1059
18	236	1007
19	239	958
20	243	914
21	246	873
22	249	834
23	252	800
24	256	768
25	259	739
26	263	712
27	267	687
28	271	664
29	275	642
30	279	621
31	283	603
32	287	584
33	292	566
34	296	549
35	299	533
36	304	518
37	308	503
38	312	488
39	316	474
40	320	461
41	324	448
42	328	435
43	332	423
44	336	411
45	340	399
46	344	388
47	349	378
48	353	367
49	357	357
50	361	347
51	366	337
52	370	328
53	374	318
54	378	309
55	382	300
56	386	291
57	390	283
58	395	274
59	399	266
60	403	258
61	407	249
62	411	241
63	415	233
64	419	226
65	424	218
66	427	210
67	432	203
68	436	196
69	441	189
70	445	182
71	450	175
72	454	168
73	459	161
74	463	154
75	468	147
76	472	141
77	476	134
78	480	127
79	484	121
80	489	114
81	493	108
82	497	101
83	502	95
84	505	89
85	510	83
86	514	76
87	518	70
88	522	64
89	526	58
90	530	52
91	534	46
92	538	40
93	542	34
94	547	28
95	551	22
96	555	17
97	559	11
98	563	5
99	567	0
